scientific_area;specialty_groups;specialties
5. Социальные и гуманитарные науки;5.7. Философия;5.7.7. Социальная и политическая философия
5. Социальные и гуманитарные науки;5.7. Философия;5.7.8. Философская антропология, философия культуры
5. Социальные и гуманитарные науки;5.7. Философия;5.7.9. Философия религии и религиоведение
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.1. Общая педагогика, история педагогики и образования
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.2. Теория и методика обучения и воспитания (по областям и уровням образования)
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.3. Коррекционная педагогика (сурдопедагогика и тифлопедагогика, олигофренопедагогика и логопедия)
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.4. Физическая культура и профессиональная физическая подготовка
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.5. Теория и методика спорта
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.6. Оздоровительная и адаптивная физическая культура
5. Социальные и гуманитарные науки;5.8. Педагогика;5.8.7. Методология и технология профессионального образования
5. Социальные и гуманитарные науки;5.9. Филология;5.9.1. Русская литература и литературы народов Российской Федерации
5. Социальные и гуманитарные науки;5.9. Филология;5.9.2. Литературы народов мира
5. Социальные и гуманитарные науки;5.9. Филология;5.9.3. Теория литературы
5. Социальные и гуманитарные науки;5.9. Филология;5.9.4. Фольклористика
5. Социальные и гуманитарные науки;5.9. Филология;5.9.5. Русский язык. Языки народов России
5. Социальные и гуманитарные науки;5.9. Филология;5.9.6. Языки народов зарубежных стран (с указанием конкретного языка или группы языков)
5. Социальные и гуманитарные науки;5.9. Филология;5.9.7. Классическая, византийская и новогреческая филология
5. Социальные и гуманитарные науки;5.9. Филология;5.9.8. Теоретическая, прикладная и сравнительно-сопоставительная лингвистика
5. Социальные и гуманитарные науки;5.9. Филология;5.9.9. Медиакоммуникации и журналистика
5. Социальные и гуманитарные науки;5.10. Искусствоведение и культурология;5.10.1. Теория и история культуры, искусства
5. Социальные и гуманитарные науки;5.10. Искусствоведение и культурология;5.10.2. Музееведение, консервация и реставрация историко-культурных объектов
5. Социальные и гуманитарные науки;5.10. Искусствоведение и культурология;5.10.3. Виды искусства (с указанием конкретного искусства)
5. Социальные и гуманитарные науки;5.11. Теология;5.11.1. Теоретическая теология (по исследовательскому направлению: православие, ислам, иудаизм)
5. Социальные и гуманитарные науки;5.11. Теология;5.11.2. Историческая теология (по исследовательскому направлению: православие, ислам, иудаизм)
5. Социальные и гуманитарные науки;5.11. Теология;5.11.3. Практическая теология (по исследовательскому направлению: православие, ислам, иудаизм)
5. Социальные и гуманитарные науки;5.12. Когнитивные науки;5.12.1. Междисциплинарные исследования когнитивных процессов
5. Социальные и гуманитарные науки;5.12. Когнитивные науки;5.12.2. Междисциплинарные исследования мозга
5. Социальные и гуманитарные науки;5.12. Когнитивные науки;5.12.3. Междисциплинарные исследования языка
5. Социальные и гуманитарные науки;5.12. Когнитивные науки;5.12.4. Когнитивное моделирование
